,class,country,countrycode,dead_during_wave,population,si_integral_during_wave,t0_10_dead,tests_during_wave,wave,wave_end,wave_start
148,6.0,Japan,JPN,666.0,126264931.0,3659.0349999999994,2020-05-30,1477080.0,2.0,2020-09-26,2020-05-29
149,6.0,Japan,JPN,6444.0,126264931.0,6751.79,2020-09-29,6165110.0,3.0,2021-03-03,2020-09-26
150,3.0,Kazakhstan,KAZ,2106.0,18513930.0,17354.019999999997,2020-04-10,3045401.3943661973,1.0,2020-10-06,2020-01-09
151,3.0,Kazakhstan,KAZ,1590.0,18513930.0,11973.705,2020-10-11,,2.0,2021-04-01,2020-10-06
152,5.0,Kenya,KEN,648.0,52573973.0,15853.509999999998,2020-04-16,518341.0,1.0,2020-09-21,2020-01-09
153,5.0,Kenya,KEN,1107.0,52573973.0,8381.335,2020-09-23,661223.388888889,2.0,2021-01-31,2020-09-21
154,5.0,Kenya,KEN,398.0,52573973.0,3112.2599999999998,2021-02-02,,3.0,2021-04-01,2021-01-31
155,4.0,Kyrgyzstan,KGZ,1063.0,6456900.0,15557.835000000001,2020-05-03,,1.0,2020-09-16,2020-01-09
156,4.0,Kyrgyzstan,KGZ,413.0,6456900.0,8764.220000000001,2020-10-08,,2.0,2021-03-11,2020-09-16
157,1.0,Cambodia,KHM,4.0,16486542.0,256.485,2021-03-28,,1.0,2021-04-01,2021-03-28
158,6.0,South Korea,KOR,255.0,51709098.0,5230.290000000003,2020-02-26,635080.947368421,1.0,2020-05-06,2020-01-09
159,6.0,South Korea,KOR,166.0,51709098.0,7573.855,2020-05-23,1689143.0,2.0,2020-10-04,2020-05-06
160,6.0,South Korea,KOR,1065.0,51709098.0,7207.689999999999,2020-10-11,3619151.666666667,3.0,2021-02-10,2020-10-04
161,5.0,Kuwait,KWT,746.0,4207083.0,18559.37,2020-04-22,,1.0,2020-10-26,2020-01-09
162,5.0,Kuwait,KWT,608.0,4207083.0,11477.759999999998,2020-05-24,613527.0,2.0,2020-10-26,2020-05-23
163,5.0,Kuwait,KWT,567.0,4207083.0,10358.115,2020-10-28,,3.0,2021-04-01,2020-10-26
164,1.0,Lebanon,LBN,6224.0,6855713.0,27563.004999999997,2020-03-29,,1.0,2021-04-01,2020-03-29
165,1.0,Libya,LBY,2657.0,6777452.0,23960.155,2020-06-16,,1.0,2021-04-01,2020-06-16
166,2.0,Saint Lucia,LCA,60.0,182790.0,,2021-01-24,,1.0,2021-04-01,2020-09-27
167,2.0,Sri Lanka,LKA,568.0,21803000.0,24181.235,2020-05-26,2443939.6666666665,1.0,2021-04-01,2020-02-21
168,2.0,Lesotho,LSO,304.0,2125268.0,15164.875000000002,2020-07-26,,1.0,2021-04-01,2020-07-26
169,2.0,Lithuania,LTU,3321.0,2786844.0,19715.19,2020-04-06,2177417.7662337665,1.0,2021-03-06,2020-03-08
170,6.0,Luxembourg,LUX,110.0,619896.0,5941.160000000002,2020-03-28,87976.98113207547,1.0,2020-06-07,2020-01-09
171,6.0,Luxembourg,LUX,14.0,619896.0,3045.48,2020-08-11,591817.0,2.0,2020-09-04,2020-06-07
172,6.0,Luxembourg,LUX,436.0,619896.0,8170.6849999999995,2020-10-21,1113798.0,3.0,2021-01-20,2020-09-04
173,2.0,Latvia,LVA,1899.0,1912789.0,20732.67,2020-04-23,1839579.7894736843,1.0,2021-04-01,2020-01-09
174,4.0,Morocco,MAR,4932.0,36471769.0,18764.609999999997,2020-03-27,3710992.0,1.0,2020-11-18,2020-03-06
175,4.0,Morocco,MAR,8645.0,36471769.0,26466.435,2020-03-27,5197544.0,2.0,2021-03-03,2020-03-06
176,3.0,Moldova,MDA,3332.0,2657637.0,20573.884999999995,2020-04-05,,1.0,2021-01-23,2020-01-09
177,3.0,Moldova,MDA,1628.0,2657637.0,4156.9349999999995,2021-01-24,,2.0,2021-04-01,2021-01-23
178,3.0,Madagascar,MDG,259.0,26969307.0,17074.050000000003,2020-06-11,,1.0,2020-12-20,2020-01-09
179,3.0,Madagascar,MDG,150.0,26969307.0,3751.670000000002,2021-01-18,,2.0,2021-04-01,2020-12-20
180,3.0,Maldives,MDV,48.0,530953.0,,2020-07-05,277685.0,1.0,2020-12-18,2020-04-10
181,3.0,Maldives,MDV,19.0,530953.0,,2021-02-15,,2.0,2021-04-01,2020-12-18
182,2.0,Mexico,MEX,202633.0,127575529.0,26597.79,2020-03-29,,1.0,2021-04-01,2020-01-09
183,5.0,Macedonia,MKD,637.0,2083459.0,,2020-04-01,,1.0,2020-09-11,2020-03-05
184,5.0,Macedonia,MKD,2148.0,2083459.0,,2020-09-14,282660.0,2.0,2021-01-25,2020-09-11
185,5.0,Macedonia,MKD,996.0,2083459.0,,2021-01-27,,3.0,2021-04-01,2021-01-25
186,2.0,Mali,MLI,342.0,19658031.0,16710.41,2020-04-15,,1.0,2021-02-19,2020-03-25
187,2.0,Malta,MLT,383.0,502653.0,12866.27,2020-08-23,696103.0,1.0,2021-04-01,2020-07-18
188,2.0,Myanmar,MMR,3206.0,54045420.0,29574.515,2020-09-09,,1.0,2021-04-01,2020-01-09
189,2.0,Montenegro,MNE,630.0,622137.0,,2020-06-27,,1.0,2020-12-23,2020-05-27
190,1.0,Mongolia,MNG,,3225167.0,,,,1.0,,
191,2.0,Mozambique,MOZ,775.0,30366036.0,22861.4,2020-07-19,480879.6590909091,1.0,2021-04-01,2020-01-09
192,4.0,Mauritania,MRT,163.0,4525696.0,12065.68,2020-05-28,88305.53333333334,1.0,2020-11-02,2020-01-09
193,4.0,Mauritania,MRT,239.0,4525696.0,3443.6549999999997,2020-12-08,91484.4,2.0,2021-01-22,2020-11-02
194,4.0,Malawi,MWI,186.0,18628747.0,15542.974999999999,2020-06-21,77988.58620689655,1.0,2020-12-12,2020-01-09
195,4.0,Malawi,MWI,931.0,18628747.0,5195.839999999998,2021-01-05,,2.0,2021-04-01,2020-12-12
196,4.0,Malaysia,MYS,121.0,31949777.0,8060.215,2020-03-22,808990.0,1.0,2020-07-06,2020-02-25
197,4.0,Malaysia,MYS,1151.0,31949777.0,17767.325,2020-09-24,,2.0,2021-04-01,2020-07-06
198,1.0,Niger,NER,177.0,23310715.0,10511.325,2020-04-07,,1.0,2021-04-01,2020-04-07
199,4.0,Nigeria,NGA,1130.0,200963599.0,15803.33,2020-04-12,,1.0,2020-10-26,2020-03-16
200,4.0,Nigeria,NGA,927.0,200963599.0,8435.149999999998,2020-10-30,,2.0,2021-04-01,2020-10-26
201,4.0,Nicaragua,NIC,73.0,6545502.0,1777.2900000000002,2020-05-21,,1.0,2020-06-28,2020-03-28
202,4.0,Nicaragua,NIC,90.0,6545502.0,2412.185,2020-07-09,,2.0,2020-12-29,2020-06-28
203,4.0,Netherlands,NLD,6111.0,17332850.0,8243.935,2020-03-15,,1.0,2020-07-11,2020-01-09
204,4.0,Netherlands,NLD,8693.0,17332850.0,13293.425,2020-07-15,,2.0,2021-02-15,2020-07-11
205,5.0,Norway,NOR,255.0,5347896.0,8094.319999999998,2020-03-25,,1.0,2020-07-21,2020-01-09
206,5.0,Norway,NOR,337.0,5347896.0,10090.394999999997,2020-09-11,3181038.0,2.0,2021-02-13,2020-07-21
207,5.0,Norway,NOR,81.0,5347896.0,3304.389999999999,2021-02-18,,3.0,2021-04-01,2021-02-13
208,4.0,Nepal,NPL,39.0,28608710.0,11562.900000000001,2020-06-05,303588.0,1.0,2020-07-16,2020-02-26
209,4.0,Nepal,NPL,2975.0,28608710.0,15753.140000000001,2020-07-29,1917702.0,2.0,2021-03-16,2020-07-16
210,2.0,New Zealand,NZL,22.0,4917000.0,6942.41,2020-04-17,288692.16949152545,1.0,2020-06-06,2020-01-09
211,5.0,Oman,OMN,609.0,4974986.0,15083.315000000002,2020-04-25,,1.0,2020-08-24,2020-01-09
212,5.0,Oman,OMN,888.0,4974986.0,7610.764999999999,2020-08-25,,2.0,2020-12-31,2020-08-24
213,5.0,Oman,OMN,181.0,4974986.0,4819.910000000002,2021-01-11,,3.0,2021-04-01,2020-12-31
214,3.0,Pakistan,PAK,6328.0,216565318.0,13259.225,2020-03-29,2684205.8260869565,1.0,2020-09-03,2020-01-09
215,3.0,Pakistan,PAK,8106.0,216565318.0,11654.925000000003,2020-09-05,,2.0,2021-04-01,2020-09-03
216,2.0,Panama,PAN,6018.0,4246439.0,29194.255,2020-03-29,2054723.6417910447,1.0,2021-03-19,2020-01-09
217,3.0,Peru,PER,37621.0,32510453.0,24496.015,2020-03-29,1752372.6666666667,1.0,2021-01-01,2020-01-09
218,3.0,Peru,PER,14180.0,32510453.0,6962.830000000002,2021-01-02,,2.0,2021-04-01,2021-01-01
219,3.0,Philippines,PHL,9252.0,108116615.0,23741.305,2020-03-15,,1.0,2021-01-03,2020-02-24
220,3.0,Philippines,PHL,4044.0,108116615.0,5849.105,2021-01-05,,2.0,2021-04-01,2021-01-03
221,1.0,Papua New Guinea,PNG,50.0,8776109.0,2777.225,2021-02-12,,1.0,2021-04-01,2021-02-12
222,5.0,Poland,POL,678.0,37970874.0,4289.905,2020-03-25,,1.0,2020-05-04,2020-01-09
223,5.0,Poland,POL,38682.0,37970874.0,16006.364999999998,2020-05-05,8337881.0,2.0,2021-02-09,2020-05-04
224,5.0,Poland,POL,14305.0,37970874.0,3741.749999999999,2021-02-10,,3.0,2021-04-01,2021-02-09
225,6.0,Puerto Rico,PRI,54.0,3193694.0,4303.765000000001,2020-04-02,,1.0,2020-04-29,2020-03-13
226,6.0,Puerto Rico,PRI,594.0,3193694.0,3896.7599999999993,2020-11-02,,2.0,2020-12-24,2020-10-30
227,6.0,Puerto Rico,PRI,1193.0,3193694.0,8330.070000000002,2020-11-02,,3.0,2021-02-25,2020-10-30
228,4.0,Portugal,PRT,1743.0,10269417.0,11412.539999999997,2020-03-22,1746106.8813559322,1.0,2020-08-07,2020-01-09
229,4.0,Portugal,PRT,15094.0,10269417.0,15894.829999999998,2020-08-10,7299115.0,2.0,2021-03-29,2020-08-07
230,1.0,Paraguay,PRY,4151.0,7044636.0,23017.225000000006,2020-05-02,897337.0,1.0,2021-04-01,2020-05-02
231,3.0,Palestina,PSE,1967.0,4685306.0,25677.039999999997,2020-07-01,,1.0,2021-01-26,2020-01-09
232,3.0,Palestina,PSE,914.0,4685306.0,5094.845,2021-01-27,,2.0,2021-04-01,2021-01-26
233,2.0,French Polynesia,PYF,141.0,279287.0,,2020-10-08,,1.0,2021-03-30,2020-07-20
234,3.0,Qatar,QAT,244.0,2832067.0,21926.92,2020-04-23,,1.0,2020-12-26,2020-01-09
235,3.0,Qatar,QAT,47.0,2832067.0,5828.3150000000005,2021-02-12,,2.0,2021-04-01,2020-12-26
236,4.0,Romania,ROU,1288.0,19356544.0,7142.790000000001,2020-03-25,,1.0,2020-06-04,2020-01-09
237,4.0,Romania,ROU,18300.0,19356544.0,14818.240000000002,2020-06-05,5331821.0,2.0,2021-02-18,2020-06-04
238,1.0,Russia,RUS,99216.0,144373535.0,21051.914999999997,2020-03-31,,1.0,2021-04-01,2020-03-31
239,4.0,Rwanda,RWA,31.0,12626950.0,17163.56,2020-08-19,,1.0,2020-10-12,2020-01-09
240,4.0,Rwanda,RWA,245.0,12626950.0,9865.55,2020-11-12,552381.0,2.0,2021-03-17,2020-10-12
241,3.0,Saudi Arabia,SAU,6282.0,34268528.0,20908.809999999998,2020-03-31,11362677.728813559,1.0,2021-01-09,2020-01-09
242,3.0,Saudi Arabia,SAU,387.0,34268528.0,4236.58,2021-01-12,,2.0,2021-04-01,2021-01-09
243,4.0,Sudan,SDN,836.0,42813238.0,15984.149999999998,2020-04-19,,1.0,2020-10-09,2020-01-09
244,4.0,Sudan,SDN,1028.0,42813238.0,3824.9950000000003,2020-11-05,,2.0,2021-02-19,2020-10-09
245,4.0,Senegal,SEN,326.0,16296364.0,12631.07,2020-05-05,221815.0,1.0,2020-11-08,2020-03-11
246,4.0,Senegal,SEN,725.0,16296364.0,5967.295,2020-12-05,,2.0,2021-04-01,2020-11-08
247,2.0,Singapore,SGP,28.0,5703569.0,15603.214999999998,2020-04-15,,1.0,2020-11-21,2020-01-09
248,1.0,Sierra Leone,SLE,68.0,7813215.0,14294.93,2020-05-06,,1.0,2021-04-01,2020-05-06
249,4.0,El Salvador,SLV,796.0,6453553.0,17785.29,2020-05-02,354849.87096774194,1.0,2020-09-17,2020-01-09
250,4.0,El Salvador,SLV,1214.0,6453553.0,9594.530000000002,2020-09-20,,2.0,2021-04-01,2020-09-17
251,1.0,Somalia,SOM,515.0,15442905.0,12656.07,2020-04-22,,1.0,2021-04-01,2020-04-22
252,6.0,Serbia,SRB,245.0,6944975.0,7176.470000000002,2020-03-29,257239.27272727274,1.0,2020-06-03,2020-01-09
253,6.0,Serbia,SRB,486.0,6944975.0,4746.415000000001,2020-06-16,770816.0,2.0,2020-09-13,2020-06-03
254,6.0,Serbia,SRB,3118.0,6944975.0,7490.0650000000005,2020-09-21,1508890.0,3.0,2021-01-23,2020-09-13
255,4.0,South Sudan,SSD,47.0,11062113.0,10050.775000000001,2020-05-29,,1.0,2020-08-22,2020-04-21
256,4.0,South Sudan,SSD,61.0,11062113.0,12297.460000000001,2020-10-29,,2.0,2021-03-28,2020-08-22
257,4.0,Suriname,SUR,116.0,581372.0,16882.28,2020-06-26,,1.0,2020-12-10,2020-04-29
258,4.0,Suriname,SUR,60.0,581372.0,7432.250000000001,2021-01-09,,2.0,2021-04-01,2020-12-10
259,3.0,Slovakia,SVK,28.0,5454073.0,6736.739999999999,2020-04-20,191935.0,1.0,2020-06-09,2020-01-09
260,3.0,Slovakia,SVK,9762.0,5454073.0,16305.455,2020-09-14,,2.0,2021-04-01,2020-06-09
261,2.0,Slovenia,SVN,2021.0,2087946.0,14598.739999999998,2020-03-29,555859.0,1.0,2020-12-09,2020-03-29
262,6.0,Sweden,SWE,21.0,10285453.0,351.40999999999997,2020-03-20,,1.0,2020-03-21,2020-02-17
263,6.0,Sweden,SWE,5811.0,10285453.0,10111.380000000003,2020-03-23,,2.0,2020-09-04,2020-03-21
264,6.0,Sweden,SWE,6764.0,10285453.0,9952.26,2020-09-12,,3.0,2021-02-11,2020-09-04
265,4.0,Swaziland,SWZ,117.0,1148130.0,15920.849999999999,2020-06-29,,1.0,2020-11-03,2020-04-05
266,4.0,Swaziland,SWZ,550.0,1148130.0,9246.849999999999,2020-12-13,,2.0,2021-04-01,2020-11-03
267,3.0,Seychelles,SYC,14.0,97625.0,6418.820000000001,2021-02-18,,1.0,2021-03-11,2020-11-10
268,3.0,Seychelles,SYC,7.0,97625.0,1393.49,,,2.0,2021-04-01,2021-03-11
269,1.0,Syria,SYR,1255.0,17070135.0,13025.350000000002,2020-07-04,,1.0,2021-04-01,2020-07-04
270,1.0,Chad,TCD,154.0,15946876.0,20937.340000000004,2020-05-03,,1.0,2021-04-01,2020-05-03
271,1.0,Togo,TGO,99.0,8082366.0,17875.96,2020-05-09,264698.0,1.0,2021-04-01,2020-05-09
272,2.0,Thailand,THA,85.0,69625582.0,20078.16,2020-03-31,2855019.0,1.0,2021-03-04,2020-02-24
273,2.0,Tajikistan,TJK,91.0,9321018.0,16360.45,2020-05-08,,1.0,2021-04-01,2020-01-09
274,2.0,Trinidad and Tobago,TTO,132.0,1394973.0,16550.709999999995,2020-08-16,96929.0,1.0,2021-03-11,2020-07-15
275,2.0,Tunisia,TUN,8559.0,11694719.0,20664.3,2020-04-01,,1.0,2021-03-23,2020-04-01
276,5.0,Turkey,TUR,4669.0,83429615.0,6912.655000000003,2020-03-22,,1.0,2020-06-07,2020-01-09
277,5.0,Turkey,TUR,20541.0,83429615.0,14533.61,2020-06-08,26489903.0,2.0,2021-01-26,2020-06-07
278,5.0,Turkey,TUR,6327.0,83429615.0,4582.995000000001,2021-01-27,,3.0,2021-04-01,2021-01-26
279,2.0,Uganda,UGA,334.0,44269594.0,17242.64,2020-08-14,739912.6883116884,1.0,2021-03-18,2020-06-21
280,3.0,Ukraine,UKR,23516.0,44385155.0,21589.994999999995,2020-03-30,,1.0,2021-02-06,2020-01-09
281,3.0,Ukraine,UKR,9730.0,44385155.0,3148.2850000000003,2021-02-07,,2.0,2021-04-01,2021-02-06
282,1.0,Uruguay,URY,943.0,3461734.0,18633.25,2020-04-21,,1.0,2021-04-01,2020-04-21
283,4.0,United States,USA,106170.0,328239523.0,6337.019999999999,2020-03-05,20799932.20689655,1.0,2020-06-03,2020-01-09
284,4.0,United States,USA,433745.0,328239523.0,17807.4,2020-06-04,350504143.0,2.0,2021-03-21,2020-06-03
285,4.0,Uzbekistan,UZB,440.0,33580650.0,14591.239999999998,2020-05-04,,1.0,2020-09-22,2020-01-09
286,4.0,Uzbekistan,UZB,261.0,33580650.0,2391.6549999999997,2020-08-09,,2.0,2020-09-22,2020-08-07
287,3.0,Venezuela,VEN,1052.0,28515829.0,25640.03,2020-04-22,,1.0,2021-01-09,2020-01-09
288,3.0,Venezuela,VEN,537.0,28515829.0,7087.39,2021-01-12,,2.0,2021-04-01,2021-01-09
289,1.0,Vietnam,VNM,25.0,96462106.0,14554.219999999998,2020-08-07,696808.3333333334,1.0,2021-04-01,2020-08-07
290,1.0,Yemen,YEM,879.0,29161922.0,10501.810000000001,2020-05-12,,1.0,2021-04-01,2020-05-12
291,4.0,South Africa,ZAF,16734.0,58558270.0,15658.885,2020-04-06,4209038.857142857,1.0,2020-10-01,2020-01-09
292,4.0,South Africa,ZAF,33944.0,58558270.0,7866.109999999999,2020-10-02,5060073.0,2.0,2021-03-08,2020-10-01
293,4.0,Zambia,ZMB,356.0,17861030.0,11571.909999999996,2020-06-09,421659.0,1.0,2020-12-03,2020-04-10
294,4.0,Zambia,ZMB,851.0,17861030.0,5023.809999999999,2020-12-14,,2.0,2021-04-01,2020-12-03
295,4.0,Zimbabwe,ZWE,224.0,14645468.0,11576.07,2020-07-10,112267.0,1.0,2020-10-04,2020-05-09
296,4.0,Zimbabwe,ZWE,1295.0,14645468.0,12883.795000000002,2020-10-27,,2.0,2021-04-01,2020-10-04
